ppm,Intensity
-170.022,-4357.38
-170.016,-2123.34
-170.01,293.848
-170.004,2923.1
-169.998,5790.92
-169.992,8921.2
-169.986,12335.36
-169.98,16052.06
-169.974,20087
-169.968,24453.4
-169.962,29161
-169.956,34217.2
-169.949,39626.2
-169.943,45389.6
-169.937,51506
-169.931,57971.2
-169.925,64778.4
-169.919,71918.4
-169.913,79379.4
-169.907,87147.2
-169.901,95206
-169.895,103537.2
-169.889,112121
-169.883,120936
-169.877,129959.2
-169.871,139166.4
-169.865,148532.6
-169.859,158031.6
-169.853,167637.2
-169.847,177322.4
-169.841,187060.2
-169.835,196823.6
-169.829,206586
-169.823,216322
-169.817,226004
-169.811,235610
-169.805,245114
-169.798,254494
-169.792,263728
-169.786,272798
-169.78,281682
-169.774,290364
-169.768,298832
-169.762,307066
-169.756,315058
-169.75,322796
-169.744,330270
-169.738,337474
-169.732,344400
-169.726,351046
-169.72,357406
-169.714,363478
-169.708,369264
-169.702,374762
-169.696,379974
-169.69,384900
-169.684,389542
-169.678,393904
-169.672,397986
-169.666,401792
-169.66,405324
-169.654,408582
-169.648,411570
-169.641,414288
-169.635,416732
-169.629,418904
-169.623,420802
-169.617,422418
-169.611,423748
-169.605,424786
-169.599,425522
-169.593,425944
-169.587,426044
-169.581,425806
-169.575,425212
-169.569,424250
-169.563,422896
-169.557,421132
-169.551,418938
-169.545,416286
-169.539,413158
-169.533,409522
-169.527,405358
-169.521,400636
-169.515,395332
-169.509,389416
-169.503,382862
-169.497,375646
-169.491,367740
-169.484,359120
-169.478,349764
-169.472,339648
-169.466,328754
-169.46,317066
-169.454,304566
-169.448,291242
-169.442,277084
-169.436,262088
-169.43,246250
-169.424,229572
-169.418,212056
-169.412,193713.2
-169.406,174554.4
-169.4,154597.4
-169.394,133862.6
-169.388,112375.8
-169.382,90166.6
-169.376,67268.8
-169.37,43720
-169.364,19562.7
-169.358,-5157.38
-169.352,-30390.4
-169.346,-56083.4
-169.34,-82179.6
-169.333,-108619.8
-169.327,-135341.6
-169.321,-162280.6
-169.315,-189370
-169.309,-216542
-169.303,-243726
-169.297,-270854
-169.291,-297852
-169.285,-324654
-169.279,-351186
-169.273,-377382
-169.267,-403172
-169.261,-428492
-169.255,-453278
-169.249,-477472
-169.243,-501014
-169.237,-523852
-169.231,-545938
-169.225,-567224
-169.219,-587674
-169.213,-607250
-169.207,-625926
-169.201,-643674
-169.195,-660480
-169.189,-676332
-169.183,-691222
-169.176,-705152
-169.17,-718128
-169.164,-730166
-169.158,-741286
-169.152,-751510
-169.146,-760874
-169.14,-769412
-169.134,-777172
-169.128,-784200
-169.122,-790552
-169.116,-796284
-169.11,-801462
-169.104,-806152
-169.098,-810424
-169.092,-814354
-169.086,-818016
-169.08,-821490
-169.074,-824858
-169.068,-828196
-169.062,-831590
-169.056,-835120
-169.05,-838866
-169.044,-842908
-169.038,-847324
-169.032,-852190
-169.025,-857578
-169.019,-863558
-169.013,-870194
-169.007,-877550
-169.001,-885680
-168.995,-894636
-168.989,-904466
-168.983,-915210
-168.977,-926900
-168.971,-939566
-168.965,-953228
-168.959,-967904
-168.953,-983598
-168.947,-1000314
-168.941,-1018046
-168.935,-1036780
-168.929,-1056496
-168.923,-1077172
-168.917,-1098770
-168.911,-1121256
-168.905,-1144582
-168.899,-1168696
-168.893,-1193544
-168.887,-1219062
-168.881,-1245186
-168.875,-1271842
-168.868,-1298956
-168.862,-1326450
-168.856,-1354240
-168.85,-1382242
-168.844,-1410370
-168.838,-1438534
-168.832,-1466644
-168.826,-1494612
-168.82,-1522344
-168.814,-1549752
-168.808,-1576744
-168.802,-1603234
-168.796,-1629136
-168.79,-1654362
-168.784,-1678832
-168.778,-1702468
-168.772,-1725194
-168.766,-1746940
-168.76,-1767636
-168.754,-1787222
-168.748,-1805638
-168.742,-1822830
-168.736,-1838754
-168.73,-1853364
-168.724,-1866624
-168.717,-1878506
-168.711,-1888980
-168.705,-1898030
-168.699,-1905642
-168.693,-1911808
