ppm,Intensity
-133.313,-1289125
-133.307,-1267740
-133.301,-1244635
-133.295,-1219625
-133.289,-1192535
-133.283,-1163215
-133.277,-1131565
-133.271,-1097555
-133.265,-1061255
-133.259,-1022820
-133.253,-982525
-133.247,-940740
-133.241,-897935
-133.235,-854670
-133.229,-811560
-133.223,-769265
-133.217,-728460
-133.211,-689805
-133.205,-653915
-133.199,-621320
-133.193,-592460
-133.187,-567650
-133.181,-547060
-133.175,-530710
-133.169,-518480
-133.162,-510085
-133.156,-505120
-133.15,-503065
-133.144,-503295
-133.138,-505145
-133.132,-507910
-133.126,-510900
-133.12,-513470
-133.114,-515045
-133.108,-515170
-133.102,-513500
-133.096,-509850
-133.09,-504185
-133.084,-496622
-133.078,-487434.5
-133.072,-477021
-133.066,-465890.5
-133.06,-454631
-133.054,-443875
-133.048,-434260.5
-133.042,-426396
-133.036,-420816.5
-133.03,-417954
-133.024,-418103.5
-133.018,-421401
-133.012,-427804
-133.005,-437089
-132.999,-448848
-132.993,-462502.5
-132.987,-477321.5
-132.981,-492451.5
-132.975,-506950
-132.969,-519830
-132.963,-530090
-132.957,-536775
-132.951,-539020
-132.945,-536070
-132.939,-527345
-132.933,-512440
-132.927,-491182.5
-132.921,-463601
-132.915,-429959.5
-132.909,-390737.5
-132.903,-346613.5
-132.897,-298440
-132.891,-247211
-132.885,-194019.5
-132.879,-140018.5
-132.873,-86373
-132.867,-34217.75
-132.861,15387.2
-132.854,61493
-132.848,103294
-132.842,140151.5
-132.836,171611
-132.83,197406.5
-132.824,217461.5
-132.818,231874
-132.812,240900
-132.806,244926
-132.8,244437
-132.794,239983
-132.788,232141.5
-132.782,221482.5
-132.776,208531.5
-132.77,193743
-132.764,177476
-132.758,159975.5
-132.752,141363.5
-132.746,121637.5
-132.74,100680.5
-132.734,78271.5
-132.728,54109.5
-132.722,27840.8
-132.716,-909.18
-132.71,-32502.45
-132.704,-67253.5
-132.697,-105394.5
-132.691,-147047
-132.685,-192194.5
-132.679,-240664.5
-132.673,-292115.5
-132.667,-346032.5
-132.661,-401733
-132.655,-458376
-132.649,-514990
-132.643,-570485
-132.637,-623710
-132.631,-673470
-132.625,-718575
-132.619,-757875
-132.613,-790315
-132.607,-814960
-132.601,-831030
-132.595,-837935
-132.589,-835285
-132.583,-822920
-132.577,-800905
-132.571,-769535
-132.565,-729310
-132.559,-680945
-132.553,-625320
-132.546,-563475
-132.54,-496557.5
-132.534,-425811
-132.528,-352520.5
-132.522,-277986.5
-132.516,-203491.5
-132.51,-130270
-132.504,-59479.5
-132.498,7818.35
-132.492,70680.5
-132.486,128289.5
-132.48,179965.5
-132.474,225168
-132.468,263496.5
-132.462,294686
-132.456,318601
-132.45,335226
-132.444,344657
-132.438,347092.5
-132.432,342818.5
-132.426,332204
-132.42,315690
-132.414,293780.5
-132.408,267033
-132.402,236057.5
-132.396,201503.5
-132.389,164056.5
-132.383,124431
-132.377,83361.5
-132.371,41593.25
-132.365,-125
-132.359,-41057.15
-132.353,-80488.5
-132.347,-117741
-132.341,-152192
-132.335,-183283
-132.329,-210540.5
-132.323,-233587
-132.317,-252153
-132.311,-266089.5
-132.305,-275370
-132.299,-280098.5
-132.293,-280503
-132.287,-276929.5
-132.281,-269834
-132.275,-259761.5
-132.269,-247331.5
-132.263,-233208
-132.257,-218078.5
-132.251,-202623
-132.245,-187487
-132.238,-173253
-132.232,-160418
-132.226,-149369
-132.22,-140368.5
-132.214,-133544
-132.208,-128881
-132.202,-126228
-132.196,-125306.5
-132.19,-125725.5
-132.184,-127006
-132.178,-128607.5
-132.172,-129962.5
-132.166,-130510.5
-132.16,-129734.5
-132.154,-127194.5
-132.148,-122563.5
-132.142,-115655.5
-132.136,-106446.5
-132.13,-95094
-132.124,-81944.5
-132.118,-67528.5
-132.112,-52557
-132.106,-37899.9
-132.1,-24558.6
-132.094,-13632.8
-132.088,-6281.25
-132.081,-3675.295
-132.075,-6953.6
-132.069,-17173.85
-132.063,-35268.05
-132.057,-61998
-132.051,-97923
-132.045,-143365
-132.039,-198393
-132.033,-262807.5
-132.027,-336143
-132.021,-417673.5
-132.015,-506435
-132.009,-601245
-132.003,-700745
-131.997,-803455
-131.991,-907785
-131.985,-1012120
-131.979,-1114845
-131.973,-1214405
-131.967,-1309355
-131.961,-1398375
-131.955,-1480330
-131.949,-1554280
-131.943,-1619500
-131.937,-1675475
-131.931,-1721935
-131.924,-1758790
-131.918,-1786175
-131.912,-1804370
-131.906,-1813815
-131.9,-1815050
-131.894,-1808700
-131.888,-1795445
-131.882,-1775970
-131.876,-1750960
-131.87,-1721060
-131.864,-1686865
-131.858,-1648915
-131.852,-1607680
-131.846,-1563555
-131.84,-1516885
-131.834,-1467955
-131.828,-1417010
-131.822,-1364275
-131.816,-1309970
-131.81,-1254320
-131.804,-1197575
-131.798,-1140035
-131.792,-1082025
-131.786,-1023940
-131.78,-966215
-131.773,-909340
-131.767,-853835
-131.761,-800245
-131.755,-749120
-131.749,-701005
-131.743,-656400
-131.737,-615760
-131.731,-579465
-131.725,-547800
-131.719,-520950
-131.713,-498976
-131.707,-481827.5
-131.701,-469328
-131.695,-461185
-131.689,-456999.5
-131.683,-456280
-131.677,-458460.5
-131.671,-462922.5
-131.665,-469014
-131.659,-476078.5
-131.653,-483470.5
-131.647,-490583.5
-131.641,-496861.5
-131.635,-501820
-131.629,-505050
-131.623,-506230
-131.616,-505125
-131.61,-501590
-131.604,-495544.5
-131.598,-486989
-131.592,-475973
-131.586,-462593.5
-131.58,-446972.5
-131.574,-429253
-131.568,-409581
-131.562,-388104
-131.556,-364959
-131.55,-340277
-131.544,-314182.5
-131.538,-286802
-131.532,-258269
-131.526,-228742
-131.52,-198411.5
-131.514,-167518
-131.508,-136361.5
-131.502,-105314
-131.496,-74825.5
-131.49,-45428.7
-131.484,-17732.4
-131.478,7581.55
-131.472,29779.3
-131.465,48089.35
-131.459,61734
-131.453,69957
-131.447,72061
-131.441,67442
-131.435,55628
-131.429,36314.45
-131.423,9395.5
-131.417,-25008.3
-131.411,-66531.5
-131.405,-114554
-131.399,-168197
-131.393,-226336
-131.387,-287622
-131.381,-350512.5
-131.375,-413313.5
-131.369,-474230.5
-131.363,-531430
-131.357,-583090
-131.351,-627490
-131.345,-663055
-131.339,-688420
-131.333,-702495
-131.327,-704515
-131.321,-694065
-131.315,-671125
-131.308,-636060
-131.302,-589625
-131.296,-532950
-131.29,-467508.5
-131.284,-395057.5
-131.278,-317589.5
-131.272,-237259.5
-131.266,-156310
-131.26,-76991.5
-131.254,-1482.91
-131.248,68188
-131.242,130215.5
-131.236,183078
-131.23,225589.5
-131.224,256937
-131.218,276704
-131.212,284874
-131.206,281823
-131.2,268289
-131.194,245335.5
-131.188,214293.5
-131.182,176699
-131.176,134222.5
-131.17,88588.5
-131.164,41501.95
-131.158,-5427.25
-131.151,-50757.5
-131.145,-93268.5
-131.139,-132018
-131.133,-166373
-131.127,-196032
-131.121,-221031.5
-131.115,-241734
-131.109,-258803.5
-131.103,-273166
-131.097,-285959
-131.091,-298469
-131.085,-312066
-131.079,-328131.5
-131.073,-347987
-131.067,-372824.5
-131.061,-403646
-131.055,-441204.5
-131.049,-485964.5
-131.043,-538070
-131.037,-597320
-131.031,-663180
-131.025,-734785
-131.019,-810965
-131.013,-890280
-131.007,-971075
-131,-1051535
-130.994,-1129760
-130.988,-1203805
-130.982,-1271775
-130.976,-1331880
-130.97,-1382490
-130.964,-1422200
-130.958,-1449870
-130.952,-1464655
-130.946,-1466040
-130.94,-1453835
