,x,y,system
609,12.924,884.0,CHA/AEI_calcined
610,12.937,935.0,CHA/AEI_calcined
611,12.95,974.0,CHA/AEI_calcined
612,12.963,1015.0,CHA/AEI_calcined
613,12.976,1053.0,CHA/AEI_calcined
614,12.989,1091.0,CHA/AEI_calcined
615,13.002,1095.0,CHA/AEI_calcined
616,13.015,1097.0,CHA/AEI_calcined
617,13.028,1088.0,CHA/AEI_calcined
618,13.041,1064.0,CHA/AEI_calcined
619,13.054,1028.0,CHA/AEI_calcined
620,13.067,975.0,CHA/AEI_calcined
621,13.08,925.0,CHA/AEI_calcined
622,13.093,859.0,CHA/AEI_calcined
623,13.106,812.0,CHA/AEI_calcined
624,13.119,771.0,CHA/AEI_calcined
625,13.132,729.0,CHA/AEI_calcined
626,13.145,681.0,CHA/AEI_calcined
627,13.158,656.0,CHA/AEI_calcined
628,13.171,639.0,CHA/AEI_calcined
629,13.184,630.0,CHA/AEI_calcined
630,13.197,616.0,CHA/AEI_calcined
631,13.21,604.0,CHA/AEI_calcined
