SMILES,AEI,CHA,color
C[C@H]1C[C@@H](C)C[N@@+]2(CCC[C@@H]2C)C1,-12.383683028449845,-11.506181302754465,0.0
C[C@H]1C[C@@H]2CC[C@@]1(C)CC[N+]2(C)C,-15.991182795004857,-15.638740087458705,-0.35244270754614604
C[C@H]1C[C@H](C)C[N+]2(CCCC2)C1,-13.604722952497067,-13.406202679714069,0.0
C[C@H]1C[C@H](C)C[N+]2(CCC[C@@H]2C)C1,-12.540146048886685,-15.858154905327554,-1.1424938178384263
C[C@H]1C[C@H](C)C[N+]2(CCC[C@H]2C)C1,-12.921916754660185,-13.1080111392383,0.0
C[C@H]1C[C@H]2CC[C@]1(C)CC[N+]2(C)C,-14.689068471160116,-15.771308338512233,-1.0822398673521183
C[C@H]1C[N+]2(C)CCN1CC2,-13.712145743260315,-13.857968932595238,0.8076107713502036
C[C@H]1C[N@+]2(C)CCN1C[C@@H]2C,-15.280449626030322,-14.325979962483082,0.0
C[C@H]1C[N@+]2(C)CCN1C[C@H]2C,-15.020869351443903,-14.880964437376626,-0.13990491406727834
C[C@H]1C[N@@+]2(C)CCN1C[C@@H]2C,-14.624033227440554,-14.242012115470937,0.0
C[C@H]1C[N@@+]2(C)CCN1C[C@H]2C,-14.684851037700446,-14.331857606712148,-0.3529934309882954
C[C@H]1[C@@H](C)[C@@H]2CC[C@@]1(C)CC[N+]2(C)C,-13.17698513466353,-13.647238972418965,0.0
C[C@H]1[C@@H](C)[C@H]2CC[C@]1(C)CC[N+]2(C)C,-12.171372799608614,-12.043112168983654,0.7542715345727018
C[C@H]1[C@@H](C)[C@]2(C)CC[C@H]1[N+](C)(C)CC2,-14.036372144327862,-11.812374772496831,-0.25167155415512
C[C@H]1[C@@H]2CC[C@@](C)(CC[N+]2(C)C)[C@@H]1C,-13.932294901487674,-13.512897133649574,-0.4193977678380971
C[C@H]1[C@H](C)[C@@]2(C)CC[C@@H]1[N+](C)(C)CC2,-14.615849704769035,-13.972489766125493,-0.6433599386435418
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,-12.404281557926724,-17.759772444227785,-1.5
C[N+](C)(C)C12CCC(CC1)C2,-12.94618291210516,-16.33017039744144,0.0
C[N+](C)(C)C12CCCC1CCC2,-15.87506953163964,-12.763006746006393,0.7404528573820333
C[N+](C)(C)C1C2CC3CC(C2)CC1C3,-12.920496490810663,-17.47420839266404,-1.5
C[N+](C)(C)C1CCCC1,-13.046360700904765,-13.526926795414422,1.5
C[N+](C)(C)C1CCCCC1,-11.19377338802696,-14.673041744266891,1.5
C[N+](C)(C)C1C[C@@H]2CC[C@H]1C2,-14.026576975162575,-16.293084309781836,0.0
C[N+](C)(C)C1[C@H]2CC[C@@H]1[C@@H]1CCC[C@H]21,-11.899165853555234,-14.810443051997865,0.0
C[N+](C)(C)Cc1ccccc1,-11.854671971762874,-13.217478339938411,1.5
C[N+](C)(C)[C@@H]1C[C@@H]2CC[C@H]1C2,-13.768776693845007,-16.284323898726633,1.5
C[N+](C)(C)[C@@H]1C[C@@H]2C[C@H]1[C@@H]1CCC[C@H]21,-13.143396003168945,-14.414857330785505,0.2383754287045097
C[N+](C)(C)[C@@H]1C[C@H]2C[C@@H]1[C@H]1CCC[C@@H]12,-12.38306347211536,-12.718423347282162,1.5
C[N+](C)(C)[C@@H]1C[C@H]2C[C@@H]1[C@H]1CCC[C@H]12,-14.685608286621067,-13.502537907307564,0.7269016086754583
C[N+](C)(C)[C@H]1C[C@@H]2CC[C@H]1C2,-14.297869240421646,-16.35851352180709,0.0
C[N+](C)(C)[C@H]1C[C@@H]2C[C@H]1[C@@H]1CCC[C@H]21,-14.528669292060421,-13.968899654728162,0.0
C[N+](C)(C)[C@H]1C[C@@H]2C[C@H]1[C@H]1CCC[C@@H]21,-11.2883490785787,-13.752017683606574,1.1257001133462694
